number_of_items,kitchen_load,time_of_day,distance,KPT
2,1,3,4,9.431246506670405
2,5,3,2,14.055707956121083
4,3,2,5,18.419000893218605
2,6,2,6,19.68236185851348
2,2,2,9,14.986312709880446
4,4,2,3,17.427677674801032
4,2,2,3,13.531102090685918
1,5,1,4,13.219864852012268
5,1,3,9,20.64360304818317
5,1,1,9,19.07121286805683
2,4,2,5,15.15323857854524
5,1,2,8,16.96564839142149
2,1,2,8,11.233761275741774
1,4,1,7,13.91206959779497
4,6,1,2,18.749931670063393
4,6,2,5,20.380065812595102
4,4,1,5,20.40737758393122
5,5,1,2,19.27259410391487
1,1,2,9,10.257274947815338
5,1,1,8,18.051618827360628
5,5,3,8,23.925426702611635
1,6,3,9,18.387802547891088
1,3,3,8,11.306282984648968
1,3,3,4,10.991946696566865
1,3,2,5,11.84882942043915
4,6,2,3,20.870320772036486
3,6,2,2,16.9254317585363
3,5,3,8,20.562481060164515
1,1,3,7,8.23377305199275
3,5,1,8,20.732899328597387
3,5,1,8,20.151787706893938
1,6,3,6,15.339593384360759
3,3,3,4,14.56474469164084
5,2,3,2,15.5034490360911
2,1,3,6,10.360608835674933
2,6,1,6,18.238382580128405
1,3,3,7,11.068282988066441
4,2,1,5,16.24318343721436
1,2,3,7,9.7011868119651
4,6,3,5,20.294574351920826
2,4,3,5,14.062315645430537
1,1,1,2,6.214516284218459
5,2,1,8,20.51394863321566
3,6,2,2,16.595175378094872
4,6,3,4,20.97301336225381
3,3,2,5,12.810941550671103
3,4,2,6,16.08068000987045
1,1,1,8,9.201049560536399
3,5,1,3,17.152212909759818
5,3,2,4,18.354654162908005
3,2,3,2,10.7846527759046
1,2,1,7,10.881735063829375
5,3,3,4,19.268339276030122
2,6,3,4,16.029820333493447
3,2,2,8,14.08593269146596
1,4,2,4,12.287195184395303
2,1,2,4,8.88183903720506
2,4,2,3,13.353671678165782
4,2,1,9,18.155235192613493
5,5,1,7,22.26131047629611
3,1,2,7,13.502821721082977
1,1,1,7,9.110175070741432
4,3,2,5,16.68494228287441
5,3,3,6,20.916570494117416
4,5,3,9,21.601297522615297
5,6,3,7,24.885918660475983
5,1,2,4,13.881003309841322
3,5,3,4,14.109454026879941
5,3,1,7,20.05103481097778
4,3,3,8,18.931022936999806
5,1,3,7,17.72352210295076
3,4,3,4,14.982459251416056
3,2,1,5,11.510999644876028
4,3,2,2,13.277568422745137
2,6,1,2,15.916958836686703
2,6,2,9,19.363372070709367
5,3,2,9,23.283225529692505
1,4,3,7,14.649984292571384
5,4,2,3,18.08221939566393
4,5,1,7,20.3709208368973
4,6,1,8,24.447912969130577
4,5,2,7,20.85908875490638
4,6,3,9,22.65434986030004
4,2,3,2,13.162316620623258
3,2,1,4,12.617263447858186
2,1,3,7,12.23770620271478
4,5,2,4,19.049594999360295
1,3,2,4,9.150853022954282
1,5,1,3,13.169678839602135
1,3,2,4,11.066990432678843
1,4,1,2,9.833205963985208
3,5,2,5,17.560321914532974
1,4,1,5,10.676728976894895
4,2,3,6,15.192473657653524
5,2,2,8,20.16076964195935
1,1,2,7,8.542719699637301
3,5,1,8,18.443162130606677
3,4,1,2,17.0958777896001
1,3,2,4,8.23659404157331
5,2,1,5,19.25675139643412
1,2,2,8,11.09257655540174
3,3,3,2,12.015437000856192
2,4,1,5,13.327721727812401
4,4,2,4,17.98283716473789
3,5,3,8,18.460225786889914
1,5,3,5,11.659670963765828
4,6,2,7,24.21017152937861
1,6,1,9,17.396027601193023
1,1,2,7,9.846088119539687
2,2,3,6,10.714543923103784
4,5,2,6,21.008421042894582
4,4,1,5,19.68354649877845
2,3,3,9,15.172878614584883
3,4,2,2,11.666558893214019
1,2,1,7,12.288793913309906
5,6,3,2,21.526244321524892
1,4,1,9,14.726428766228691
1,1,3,2,4.882047946731354
3,2,2,9,15.089347803750313
1,6,1,5,16.42025693244196
2,3,3,2,9.565284392189355
2,6,1,7,17.181291462452528
4,1,1,4,12.91364588151247
5,2,2,6,16.939986638421463
1,3,1,4,8.669985424136891
1,1,3,2,4.669900796238054
3,6,3,4,18.28635531550037
2,1,3,7,9.718890244085255
5,2,3,7,19.985148925212325
4,5,2,2,17.77715971206579
2,1,1,5,9.13463700922727
4,1,2,4,11.796656513703
3,6,1,5,18.910774547083335
3,6,1,5,19.899435040755723
1,3,1,9,14.444584027199678
5,6,2,3,22.458504300451178
4,4,1,2,15.119622509019678
2,2,2,6,8.875074820803324
3,2,3,7,15.847811197916249
1,5,3,7,14.932803856927649
1,5,1,2,11.766166065471662
4,2,2,9,19.8692287546403
3,5,3,8,22.33440863323768
5,3,2,8,20.250178521859176
3,6,2,8,21.53395990716564
4,2,1,9,19.566836460605444
4,5,3,6,19.455720981477004
3,2,1,7,14.017888406209574
4,4,1,2,15.011961421541125
3,1,3,9,14.671909686591977
2,6,3,7,18.379876319710032
3,2,2,5,12.406204677743675
3,1,3,4,9.73424258439374
4,5,2,4,19.51194032839529
4,1,2,9,18.037831020966117
1,6,2,7,18.082714794172418
1,2,3,3,6.918926442615516
2,4,1,6,15.653724672257278
1,5,2,8,16.136325902727776
3,2,1,6,13.229328651386675
4,6,1,6,22.534218218708197
1,5,3,9,16.083394945954502
1,3,1,5,10.123823397218311
2,1,1,6,8.923270297496371
2,6,3,4,15.735778902566773
3,3,2,5,14.753861209014584
4,2,1,2,14.168934495677496
2,4,3,6,14.446504553798315
1,5,1,6,13.261830852913066
4,1,1,2,12.597368970934124
4,5,2,6,19.795447562915783
1,2,1,2,4.851618343859135
2,5,3,5,15.633093735136784
1,1,1,4,6.375226526720825
4,2,2,2,14.90039564268517
5,5,2,3,20.37536603434721
5,4,3,9,23.05365764634516
3,6,2,9,21.275502790744397
1,2,1,2,6.930166841192967
1,6,2,9,19.656709950061792
3,2,3,6,14.11181418347726
3,4,2,8,17.552570307882053
3,6,2,8,21.938806211751952
4,3,2,9,19.651393105127184
1,1,3,5,7.948613103318162
4,3,2,7,17.74519264981578
3,5,2,5,17.121704725738788
1,4,1,7,13.182220202568221
4,3,3,8,19.84223815149736
4,2,2,8,17.031774724758908
3,5,3,2,14.640269268625772
1,5,2,4,11.757934098437634
3,3,2,3,13.354013801716768
1,3,2,5,10.811701802131218
5,4,1,6,20.35123177551137
2,1,1,7,10.390621292442141
2,3,1,9,17.57617341322771
2,3,3,6,11.419556944875163
3,6,3,4,18.69317200320172
5,2,1,7,19.891403548216008
1,6,3,5,11.6131862385117
4,6,2,2,19.394140060076182
1,5,2,6,14.079745398503913
4,1,2,4,12.956054864283258
1,2,1,5,8.67676203547791
5,4,3,8,23.475393445646077
4,4,1,8,20.763119341671356
3,3,3,5,14.631719889534315
1,3,2,5,9.601139393041407
1,4,1,5,13.882292233834189
4,3,3,7,18.109931019733274
3,1,3,5,13.78980579746046
3,6,2,6,21.727569385178196
5,3,1,4,15.921649032734619
3,5,1,7,18.445054039197313
3,3,1,5,13.463048994025058
3,2,2,3,11.351793918512938
2,1,1,9,12.88716402048616
5,2,2,3,15.62992646789343
1,2,2,4,9.254128676018977
4,5,2,8,23.393582769308868
1,1,3,2,6.067487749238638
5,1,1,2,12.539064785776253
4,1,1,9,15.91797613489256
5,1,2,8,17.902761835883936
3,1,2,7,13.526119526404663
4,5,1,7,20.916808654282878
3,3,2,7,14.75451516374778
1,2,1,2,7.2820595085768005
1,1,3,3,5.507685231266097
4,3,2,2,13.677487265577957
4,3,1,6,17.24538732594191
5,2,2,5,16.76010108291984
5,5,1,7,22.7334989444879
3,4,1,3,13.11987469306681
4,4,2,4,17.08775253304834
1,3,3,9,14.402953791906867
5,6,1,4,22.46464400512129
5,6,1,5,23.948121439100646
1,2,1,3,6.671454977679994
5,4,3,2,16.3219415208822
3,3,3,2,11.854150021022003
4,5,2,6,19.685763381451302
1,4,3,6,12.289665016792252
4,3,2,2,14.311749718081128
5,3,2,4,17.196919460895344
5,1,3,9,17.449931510793604
1,5,2,7,14.541005272118003
3,1,3,4,11.0400593668608
2,2,2,9,14.871480601006917
1,1,3,6,8.961422784083348
2,1,3,5,9.92447309424791
2,4,2,9,17.031906534034754
3,6,1,2,17.00491409895913
2,3,2,6,13.257664341801764
2,5,3,6,16.413096137820236
3,1,1,7,12.160673262134061
2,5,2,2,13.143874963760716
2,6,2,7,18.978666234251413
2,6,2,2,14.941127313439708
1,1,1,7,7.812480973940703
1,2,3,9,12.29626077640338
1,1,2,4,5.256110422536087
3,4,2,5,16.173676646138528
5,3,2,5,17.798662808397285
2,2,2,2,10.305642942525445
2,1,2,3,8.01924332929589
3,5,3,8,20.70116401982392
2,2,3,6,13.91087263702428
1,2,2,6,8.982598188911279
5,1,1,2,13.535674910905911
4,2,3,9,17.014088990767153
2,5,1,7,17.44489700824992
1,6,3,3,15.165709266450403
4,2,2,4,13.57211678555821
5,6,3,7,23.714045686705404
4,5,2,7,21.00882576648144
1,1,3,2,7.145817288088285
4,3,2,2,14.871038919953255
3,2,2,9,15.295085347943989
4,3,2,6,18.755060582481768
2,5,2,2,11.444937007666812
2,2,1,2,10.736559128802725
3,6,2,2,17.45645068001516
1,4,1,9,16.963557440006717
2,3,1,6,11.652201891615965
5,2,2,4,16.369441830859685
2,3,1,4,11.566111073434284
2,2,3,8,12.393020526553359
1,1,2,8,8.603976379748609
4,6,1,2,19.10708125875955
2,3,2,8,15.497731708113625
3,4,2,6,18.099974046725755
4,4,2,9,20.696578946673167
5,5,1,4,20.55839018984419
1,2,3,7,9.21754007505391
5,3,3,4,19.240785811994748
4,5,1,4,18.769548087757244
4,3,2,6,18.022588501620106
4,2,1,8,18.157905396111012
5,4,1,7,23.05910715730198
4,1,1,6,13.468600532732548
5,4,2,2,18.29758660034718
4,5,1,9,22.674991293690958
3,6,2,5,21.105677066340633
4,1,1,4,11.865635821003982
5,5,3,5,22.671426347763873
2,2,1,9,14.550341779228397
4,1,1,9,16.99785609420602
2,5,3,6,16.35402072604749
3,2,2,6,15.146665822836788
1,4,2,6,13.063851701073935
3,6,1,5,17.475584661879022
4,2,3,6,17.019503568712246
2,3,2,9,16.73620183213172
2,2,1,2,9.187137684212846
5,2,3,6,16.671526370252455
2,6,2,3,14.426884639778681
5,3,2,8,19.022557114763888
1,5,3,5,13.960329873179814
4,5,3,3,16.55045115182563
5,2,3,6,16.081249107137836
1,3,3,9,14.974989119300043
2,3,1,2,10.868179564462846
2,6,3,4,15.866828335169073
1,4,2,7,13.465953416742806
2,5,2,8,15.492655793016056
1,6,1,7,17.51674491905922
5,1,2,6,15.607268535511317
5,5,2,8,24.23029086313314
1,6,3,8,14.911437738208514
5,5,2,2,20.077568032161548
5,4,1,8,21.647155230614274
5,1,3,5,14.123957736210645
3,4,3,3,14.060398365511633
4,1,1,3,11.303604782064514
2,2,3,3,10.474267612909866
3,6,3,5,18.579604877638374
5,1,1,7,18.46261702661337
1,4,3,2,9.930142615789073
5,5,1,8,24.794367887212374
4,1,1,5,13.497833546772114
5,6,2,3,22.67205898233988
1,1,2,6,7.146376009717325
4,3,3,4,15.813624457494326
5,5,3,8,23.503564170568584
4,6,1,5,22.396628479507314
2,6,3,9,21.699034404659425
2,2,1,5,11.000421259237118
5,4,1,2,16.308488898904198
4,2,3,2,13.027097316791668
1,6,1,5,13.335390264966234
5,5,2,3,21.52614279878311
2,1,3,4,8.22682992936396
2,1,2,8,11.869429836582505
5,5,3,2,18.41904892419325
4,6,1,8,22.498218413299178
2,1,3,3,8.637291316547053
4,1,2,8,15.741383322948678
2,1,1,6,10.342482538923177
2,4,3,2,10.59610892078116
3,4,3,3,15.25605922349704
2,3,3,3,11.857789735136867
1,2,2,4,7.9910715131204215
5,5,2,4,21.967922133331886
5,5,3,6,22.19587584577548
4,5,1,3,18.67975549628882
2,3,1,7,12.477072419169904
1,4,2,3,10.753430866486413
4,6,1,4,19.928518532393063
3,6,2,7,20.755522425954997
4,3,3,2,14.210682405655826
4,6,2,2,18.725699822176985
2,5,2,8,18.515700729362553
3,2,3,5,12.43482636839402
4,1,1,4,13.269079259535642
1,4,2,5,13.232524883117907
1,4,2,7,12.189858995019678
5,3,3,4,16.919459901770672
3,4,1,6,16.061464574498814
3,5,2,3,14.807954200549041
5,6,3,6,23.325302230362944
4,5,2,7,22.133118515399843
3,3,3,4,15.147586924512428
1,5,1,9,16.8061749697465
1,6,1,7,16.275763989151802
2,2,1,9,15.00292396908066
3,3,1,3,10.53603150574782
4,2,2,2,11.544821527896842
5,1,2,2,10.778369593300084
5,2,1,7,17.53430028264456
4,1,1,5,12.732982473098
2,1,1,4,10.177681877937678
5,2,2,4,13.43893803384401
3,3,1,2,11.683297399765666
2,6,1,8,20.019566472178106
3,5,1,6,18.710730663269093
1,5,3,8,17.361738133534892
2,6,1,3,15.561051478596589
5,1,3,6,16.674278180481146
2,1,3,6,8.46149316819745
2,3,1,7,13.111731141823192
2,4,3,2,9.817295256551976
2,2,1,8,13.9726081079141
3,1,2,8,14.248690451757247
1,5,2,2,11.413537967283515
4,3,2,8,18.018566391541924
2,2,2,9,13.227050220683333
5,3,3,2,16.309446932296417
2,2,1,7,11.930613947228867
5,2,1,5,15.979595436167763
3,6,1,6,19.291610628741932
5,1,2,7,16.439257963964693
4,3,2,4,14.833277025371546
1,3,1,3,7.674232183242398
5,6,2,5,23.448689768338905
5,5,1,4,22.256049439477056
1,5,1,6,14.260995799381346
4,1,1,8,16.12243413696993
2,1,1,2,7.636377852601703
5,4,1,6,21.166565757193123
1,6,1,7,15.753087671683023
3,5,1,3,17.619846211102587
1,2,2,7,9.84268948632204
3,3,1,5,15.14808836466041
4,1,1,5,14.030191307342912
2,3,2,3,8.941558457865362
1,3,2,9,13.34115358308708
5,4,2,4,19.25662845181217
4,5,1,4,18.833151211424287
1,1,3,5,7.801420515516767
5,3,3,5,19.257662872939974
1,1,2,8,9.892484635729222
3,2,3,2,10.954617568017945
1,4,2,8,14.355045413227618
1,2,1,8,10.382666343245226
1,1,3,9,10.732401441369673
4,1,1,4,13.449089844253068
1,5,3,9,17.808788382475363
5,3,1,9,22.237315657544205
3,3,3,3,14.2343503259493
3,2,1,4,12.61886474740898
1,4,1,2,10.463879821668836
4,6,3,7,23.537391149279788
4,3,1,5,16.276649459116264
5,5,1,5,22.22600343256767
1,2,1,2,5.659355102359085
3,2,3,9,16.54981234254886
4,6,3,8,23.977025826668452
1,5,1,3,12.95109512069933
4,4,1,9,22.020759303981304
4,5,3,5,20.564114183334713
3,4,3,6,16.70061966987358
2,5,1,8,17.55460684532995
5,5,1,5,21.225101242114384
5,1,1,6,16.56628373044863
3,2,2,9,14.391252984357747
4,5,3,2,18.431756970394556
1,6,2,2,12.643873359828975
4,5,3,8,21.48499841766488
3,3,3,5,11.97028378939454
5,2,3,4,16.163186493821716
4,3,3,6,17.101523484924247
5,2,3,3,14.502953569354744
1,3,3,5,9.826953154872989
5,5,3,3,19.873363355554837
5,5,2,5,20.911763540412316
2,1,1,4,9.271878066178354
2,6,1,4,15.451216411355983
2,3,2,8,15.054608429520778
5,4,2,8,23.58004536881117
3,1,2,4,10.663404137437448
5,3,2,7,20.455977123959748
3,3,3,4,13.992651387400597
3,1,1,2,9.107996899617266
2,5,3,2,13.03299285805649
4,3,1,7,17.52862577855009
1,5,1,9,16.85101229055782
2,1,2,6,10.016732491160534
2,5,3,9,20.246090168234705
4,2,2,3,14.211143259109912
1,4,3,9,13.747204104111653
5,3,1,5,17.102842001781923
5,6,2,9,26.069540130960632
2,4,2,5,13.604694522560253
1,5,1,7,14.916806081778077
2,3,1,2,10.751161460652312
3,5,1,8,20.215735898877355
2,2,2,5,11.305629230458154
2,1,3,2,8.546194665495394
5,3,2,6,17.911108445826923
5,2,3,3,15.503938834148899
5,2,2,6,17.220947452052748
3,3,2,7,17.535435785839354
5,5,1,9,22.490648394176656
1,6,3,9,16.034518414287
4,2,2,4,14.50463629634805
1,4,2,4,12.326296559324145
1,2,1,4,8.97325432131705
5,6,1,6,22.99901920668229
4,5,3,5,21.00642172200158
4,5,2,3,16.66853125140579
4,4,3,4,18.507484189543344
3,2,2,7,13.500771749641858
5,5,3,7,22.74817582766278
4,6,1,4,20.839269537856918
3,3,2,9,16.233792169103836
2,1,3,4,10.169023397540766
2,1,1,3,7.542056168598686
3,1,1,4,10.83727613567829
3,2,3,3,12.562200789040752
5,4,2,7,20.80687465483285
5,5,2,4,21.76081368625539
2,3,1,6,14.94053357089237
4,6,2,8,22.74442100267042
2,3,2,6,14.669387672596296
4,6,2,7,20.839421405758397
4,2,1,3,13.789600394794567
5,1,3,6,15.071401484296192
1,2,2,3,8.342568548536189
1,4,1,6,13.660456048422205
3,4,1,6,18.877379995591244
5,6,3,3,22.821282982952496
4,5,2,5,19.334228802398545
1,5,2,6,13.21825251270116
4,6,3,4,20.76568707966939
1,4,3,8,14.339268589614507
1,4,1,7,15.151155044595706
1,4,1,5,9.833619156584222
5,2,3,3,17.588056759288627
2,4,2,5,14.531990607611803
4,3,1,2,13.286987878279627
5,1,1,2,13.833989227418567
5,4,2,6,22.097421421289706
5,6,1,6,23.91434689130369
5,1,2,4,12.935079615855157
5,2,2,8,19.106152963652892
3,6,2,7,21.63939505304214
4,1,3,5,13.996664734227375
5,6,3,2,20.44349296916463
4,2,3,6,17.108315830891435
3,3,2,9,18.439305840832297
3,2,2,9,17.016339155938343
4,2,3,7,16.1893653080192
1,6,1,5,14.492616318253901
2,5,2,6,14.60004027931698
1,4,1,6,12.540608244062744
1,4,1,2,10.535392053798127
1,3,2,2,7.895906702984413
5,3,2,6,19.745538846529005
3,4,1,3,15.51119935665328
1,5,1,6,14.672832991798632
3,4,3,7,18.070514761760805
4,5,3,6,18.942177537962447
2,3,2,4,11.377435215898021
4,1,3,8,17.626626506496596
4,6,3,4,20.303797181096094
5,3,3,4,19.596738181996574
2,3,3,3,10.176884369361053
4,2,1,3,13.63394745213454
4,2,2,9,17.817321562448132
2,2,3,6,12.391984685124553
2,6,1,4,17.09500866806012
4,2,1,3,14.002466095700902
2,5,1,2,14.141852143748029
4,4,3,6,18.786827011477673
4,1,3,7,14.909471632336324
5,3,2,8,19.141806992724028
1,5,3,5,14.138450935164565
4,1,3,6,14.472184092240157
3,5,1,5,17.432085262437468
1,5,2,4,12.509182594545655
1,3,3,8,12.86312043865621
1,4,3,5,11.763763868502084
5,2,1,4,15.671966161436695
4,6,1,2,18.839588880724172
5,4,3,5,20.484159118932954
4,6,2,8,22.629432085613818
5,3,2,9,21.29926443081261
5,3,1,6,19.09537824873513
3,3,1,4,13.704813307376785
5,1,3,6,16.171814530414235
2,6,1,8,20.059721199656394
3,4,3,3,12.74763298429619
5,4,2,4,17.72496280165988
1,5,2,5,13.693569399253578
2,5,3,4,14.09731415217221
2,5,1,6,17.18424230577381
2,3,2,2,11.26980095258855
3,4,1,4,15.43374717642291
5,6,2,5,21.92802508372582
5,3,3,3,17.954593516227057
1,1,3,9,10.898902662150327
1,5,3,7,13.613064027472884
2,3,2,2,8.701480351934816
1,3,1,9,15.216946789708643
3,1,1,3,11.25113591326123
5,2,1,4,13.682856857903754
2,4,2,6,13.442209104742124
1,6,2,8,18.540855495621653
3,2,2,6,13.781507411606952
3,5,2,9,21.40184928549209
1,3,2,5,10.438047253901903
5,1,1,6,16.954492490071203
1,1,2,2,5.105833546665433
2,4,2,6,14.362391743243034
1,2,1,5,10.058743829914809
3,4,2,7,17.802054616025647
1,3,1,4,10.352388716243565
5,4,1,8,22.557447924960766
4,6,3,9,23.713643106450185
1,1,3,4,8.308389311357192
5,1,3,6,16.654968254757666
5,5,3,3,19.54495135562785
3,5,2,4,17.978329470318716
5,3,3,7,18.779176226121045
5,6,1,6,26.036283650795987
5,2,2,8,19.22085024233657
5,4,3,5,18.731985792616623
2,3,1,7,16.005941348457565
2,5,2,6,15.83683238692721
3,4,2,7,17.843244569855628
1,5,3,4,13.417690741439463
5,4,2,8,23.584172527660144
1,2,1,5,9.299774563721565
1,3,2,6,10.652684591669964
3,4,1,2,13.818992523333993
5,6,2,9,25.78068445466828
5,1,3,5,15.749011676364523
4,6,1,2,20.22814954575686
1,6,2,7,17.355925191643795
1,1,2,3,6.106646438098339
2,6,2,5,17.73849083260634
4,4,1,7,20.410080651909187
2,4,1,2,10.522125897031275
2,4,1,4,13.241722711215697
2,1,3,4,11.262527659332516
3,6,3,3,18.612820985031863
3,1,1,9,14.196564440838799
2,4,2,5,13.396792103882378
4,6,3,5,20.363474276824398
1,6,1,5,15.866319950262056
4,5,2,9,24.307640921116217
5,5,3,7,23.68216704448006
3,2,2,8,15.557162349868818
1,3,2,8,12.455844642367229
1,5,2,3,12.229373145583526
5,1,2,5,14.679878279903791
5,5,3,7,21.16423445278876
2,2,3,4,11.836825690112448
3,6,3,2,15.594187329637892
3,2,1,7,14.275167626330681
4,6,3,9,24.85635745062929
2,6,2,8,20.834466869346052
2,3,3,8,15.157130652418621
2,5,2,4,13.50628901233917
2,1,1,4,8.398653550308449
3,1,2,9,14.02151459497492
3,4,2,2,13.561788972528678
2,6,2,4,17.431984471269637
4,1,1,3,9.362611403930117
1,3,3,2,7.688610169972509
1,6,3,4,13.715950363612981
4,3,1,6,16.04323865510436
2,1,2,7,11.685490743749618
3,1,3,4,9.28502412812395
1,4,1,3,9.100105720703676
5,1,3,5,16.351069214020615
5,6,1,4,23.700571368962667
4,6,2,8,23.32390323138804
2,6,3,8,18.18260388101073
1,4,1,8,13.69444590822175
2,4,3,5,15.008001947245045
1,1,3,8,10.016438240663394
4,2,3,6,15.698961223118078
4,2,3,4,14.513049709913146
5,4,1,9,23.16234005647456
2,1,2,8,13.445712297659217
5,2,1,2,13.8508567353064
2,1,1,9,11.836040883164786
5,1,1,5,14.116546481931344
3,1,2,6,11.76001236427431
3,5,3,2,14.008024525333845
3,6,3,2,16.818075508652726
3,1,3,2,9.120947365525144
1,5,2,2,10.020924499932024
3,4,3,9,19.78913935902797
4,2,2,9,19.716812867129875
4,6,3,4,20.557838348671023
1,2,3,8,8.856501817044528
3,6,1,7,22.587130970670106
3,2,2,4,12.94692346907106
3,6,1,4,20.15641825318845
5,2,1,6,18.890723586149836
2,2,1,6,13.09051541887056
5,2,2,8,19.605266893601083
2,2,2,7,12.337703987810169
3,4,3,6,17.17348118773216
3,1,1,8,13.191214919753461
5,3,3,8,21.33388085090023
5,5,1,9,22.073213742649287
2,3,2,3,10.942932245214413
4,3,2,9,21.04467612010213
2,6,2,7,18.69430857892897
5,1,1,6,18.02748273803099
5,6,2,7,24.336254612151397
1,1,1,4,7.702650912987828
5,1,3,4,13.821729926326633
1,2,1,7,11.56195661955538
4,4,3,3,16.632594908227816
2,2,1,3,9.180249504157272
2,4,3,9,14.62611788493558
1,6,2,7,16.34562322419445
2,4,3,6,15.013453019279812
5,6,2,9,27.028709435219916
3,3,2,5,16.060949799099067
1,3,3,3,10.93503270136591
2,4,1,2,12.846267343122983
1,4,1,9,14.637909674695806
1,6,1,4,13.89519591048226
3,2,1,9,16.938915471043682
5,6,1,7,25.119614459847803
1,2,2,2,8.228345959391362
2,3,1,7,16.579389418709912
4,1,2,8,18.167180195098222
1,4,2,4,12.693938199798344
1,2,2,4,8.727902648942896
3,6,3,3,18.749325062945843
5,3,3,9,23.361441013728395
4,2,2,3,13.252699602744983
2,6,3,2,14.06733902749124
4,4,1,9,20.432578999928324
2,4,1,8,15.523615266554696
5,5,2,7,21.71800467740681
2,1,1,8,12.149901709117728
3,5,2,4,15.700247198911867
3,3,2,2,11.316477815864618
3,2,1,5,13.701255559176728
3,3,3,2,12.281609066253509
4,6,1,6,22.229624940633677
5,4,1,2,18.96514876189208
2,5,2,8,18.764529908540794
2,5,2,6,17.818886581452663
3,5,2,6,18.37997649477807
3,3,2,9,19.311790591312395
1,4,3,9,15.55973676435746
5,2,3,6,17.968706261095203
4,6,3,5,22.461526206276503
2,2,2,9,13.327846320806705
1,3,2,2,10.123600567542475
1,6,2,8,17.11789997996271
2,5,3,2,11.881892028450679
4,1,2,5,14.153501952055862
1,3,1,4,9.322678489881739
1,3,1,3,10.92580709191125
5,4,2,8,21.967099181214852
4,2,1,9,18.514448917351963
1,3,1,8,11.474406684521897
4,3,3,2,14.91291424489747
2,5,2,3,13.122609924141095
3,5,2,7,19.793324690332604
1,6,3,7,16.17165476029414
5,1,1,9,16.6530653132772
2,4,1,5,14.131190090343884
4,1,2,7,15.186428517078436
2,6,1,8,20.28107157362261
1,5,3,7,16.656000571839204
4,2,3,4,16.112409409916797
3,5,2,4,17.564154213470886
2,4,3,9,17.478619192065917
1,5,3,4,11.272666410484534
5,4,2,7,21.802020936990008
4,4,3,5,18.214940169938934
2,4,3,6,14.601359740343973
2,6,3,6,18.43296765060081
3,4,1,9,20.321905710982133
3,4,2,3,13.581596069471317
5,2,2,6,16.966015645800532
5,1,2,6,16.160707988223372
1,3,1,4,9.084770809292076
1,1,1,4,5.058746797640137
5,4,2,7,20.60340726367705
5,2,1,9,18.967678852962557
4,5,2,3,19.10845050801815
3,2,1,9,17.90282700600928
1,4,3,2,8.504566542705414
3,2,3,8,15.946073513137112
3,2,2,3,12.27351642446975
5,4,1,3,16.907731213340135
4,6,1,5,21.160978947179
2,2,3,9,16.733516165346526
4,3,3,7,18.777146866357633
4,3,1,5,16.25469945866747
3,2,1,3,10.839813474781792
4,6,1,3,17.377538415279105
1,5,1,3,12.370473656116733
3,4,1,6,18.747816787254315
1,3,1,9,12.886456245602078
2,5,2,8,15.964415320482937
3,2,1,8,14.735775818646776
2,5,3,5,16.381599745978207
3,1,2,3,9.471499995177915
5,3,1,8,20.07953190708691
4,2,3,4,14.219154915057858
5,4,2,9,23.429700747167853
2,6,3,8,18.011609859228304
4,2,1,7,16.382716303063177
3,4,1,9,18.70273238607766
